"financial_year","actual_revised_estimated","category","item","sector","ministry","type","class","amount","percent_of_gdp"
2005,"Actual","Revenue","Operating Revenue",NA,NA,"Withholding Tax","Tax",898,0.004
2006,"Actual","Revenue","Operating Revenue",NA,NA,"Withholding Tax","Tax",964,0.004
2007,"Actual","Revenue","Operating Revenue",NA,NA,"Withholding Tax","Tax",1150,0.004
2008,"Actual","Revenue","Operating Revenue",NA,NA,"Withholding Tax","Tax",1176,0.004
2009,"Actual","Revenue","Operating Revenue",NA,NA,"Withholding Tax","Tax",1137,0.004
2010,"Actual","Revenue","Operating Revenue",NA,NA,"Withholding Tax","Tax",957,0.003
2011,"Actual","Revenue","Operating Revenue",NA,NA,"Withholding Tax","Tax",1258,0.004
2012,"Actual","Revenue","Operating Revenue",NA,NA,"Withholding Tax","Tax",1337,0.004
2013,"Actual","Revenue","Operating Revenue",NA,NA,"Withholding Tax","Tax",1152,0.003
2014,"Actual","Revenue","Operating Revenue",NA,NA,"Withholding Tax","Tax",1126,0.003
2015,"Actual","Revenue","Operating Revenue",NA,NA,"Withholding Tax","Tax",1402,0.003
2016,"Actual","Revenue","Operating Revenue",NA,NA,"Withholding Tax","Tax",1474,0.003
2017,"Actual","Revenue","Operating Revenue",NA,NA,"Withholding Tax","Tax",1532,0.003
2018,"Actual","Revenue","Operating Revenue",NA,NA,"Withholding Tax","Tax",1590,0.003
2019,"Actual","Revenue","Operating Revenue",NA,NA,"Withholding Tax","Tax",1637,0.003
2020,"Actual","Revenue","Operating Revenue",NA,NA,"Withholding Tax","Tax",1618,0.003
2021,"Revised","Revenue","Operating Revenue",NA,NA,"Withholding Tax","Tax",1725,0.003
2022,"Estimated","Revenue","Operating Revenue",NA,NA,"Withholding Tax","Tax",1829,0.003
1997,"Actual","Revenue","Operating Revenue",NA,NA,"Statutory Boards' Contributions","Tax",702,0.005
1998,"Actual","Revenue","Operating Revenue",NA,NA,"Statutory Boards' Contributions","Tax",1800,0.013
1999,"Actual","Revenue","Operating Revenue",NA,NA,"Statutory Boards' Contributions","Tax",1676,0.011
2000,"Actual","Revenue","Operating Revenue",NA,NA,"Statutory Boards' Contributions","Tax",1192,0.007
2001,"Actual","Revenue","Operating Revenue",NA,NA,"Statutory Boards' Contributions","Tax",862,0.005
2002,"Actual","Revenue","Operating Revenue",NA,NA,"Statutory Boards' Contributions","Tax",625,0.004
2003,"Actual","Revenue","Operating Revenue",NA,NA,"Statutory Boards' Contributions","Tax",488,0.003
2004,"Actual","Revenue","Operating Revenue",NA,NA,"Statutory Boards' Contributions","Tax",1405,0.007
2005,"Actual","Revenue","Operating Revenue",NA,NA,"Statutory Boards' Contributions","Tax",1249,0.006
2006,"Actual","Revenue","Operating Revenue",NA,NA,"Statutory Boards' Contributions","Tax",955,0.004
2007,"Actual","Revenue","Operating Revenue",NA,NA,"Statutory Boards' Contributions","Tax",1683,0.006
2008,"Actual","Revenue","Operating Revenue",NA,NA,"Statutory Boards' Contributions","Tax",2143,0.008
2009,"Actual","Revenue","Operating Revenue",NA,NA,"Statutory Boards' Contributions","Tax",410,0.001
2010,"Actual","Revenue","Operating Revenue",NA,NA,"Statutory Boards' Contributions","Tax",573,0.002
2011,"Actual","Revenue","Operating Revenue",NA,NA,"Statutory Boards' Contributions","Tax",353,0.001
2012,"Actual","Revenue","Operating Revenue",NA,NA,"Statutory Boards' Contributions","Tax",539,0.001
2013,"Actual","Revenue","Operating Revenue",NA,NA,"Statutory Boards' Contributions","Tax",530,0.001
2014,"Actual","Revenue","Operating Revenue",NA,NA,"Statutory Boards' Contributions","Tax",516,0.001
2015,"Actual","Revenue","Operating Revenue",NA,NA,"Statutory Boards' Contributions","Tax",438,0.001
2016,"Actual","Revenue","Operating Revenue",NA,NA,"Statutory Boards' Contributions","Tax",775,0.002
2017,"Actual","Revenue","Operating Revenue",NA,NA,"Statutory Boards' Contributions","Tax",4866,0.01
2018,"Actual","Revenue","Operating Revenue",NA,NA,"Statutory Boards' Contributions","Tax",1490,0.003
2019,"Actual","Revenue","Operating Revenue",NA,NA,"Statutory Boards' Contributions","Tax",1798,0.004
2020,"Actual","Revenue","Operating Revenue",NA,NA,"Statutory Boards' Contributions","Tax",2519,0.005
2021,"Revised","Revenue","Operating Revenue",NA,NA,"Statutory Boards' Contributions","Tax",2860,0.005
2022,"Estimated","Revenue","Operating Revenue",NA,NA,"Statutory Boards' Contributions","Tax",2034,0.004
1997,"Actual","Revenue","Operating Revenue",NA,NA,"Assets Taxes","Tax",2335,0.016
1998,"Actual","Revenue","Operating Revenue",NA,NA,"Assets Taxes","Tax",1529,0.011
1999,"Actual","Revenue","Operating Revenue",NA,NA,"Assets Taxes","Tax",1314,0.009
2000,"Actual","Revenue","Operating Revenue",NA,NA,"Assets Taxes","Tax",1606,0.01
2001,"Actual","Revenue","Operating Revenue",NA,NA,"Assets Taxes","Tax",1517,0.009
2002,"Actual","Revenue","Operating Revenue",NA,NA,"Assets Taxes","Tax",1308,0.008
2003,"Actual","Revenue","Operating Revenue",NA,NA,"Assets Taxes","Tax",1512,0.009
2004,"Actual","Revenue","Operating Revenue",NA,NA,"Assets Taxes","Tax",2058,0.01
2005,"Actual","Revenue","Operating Revenue",NA,NA,"Assets Taxes","Tax",1910,0.009
2006,"Actual","Revenue","Operating Revenue",NA,NA,"Assets Taxes","Tax",2112,0.009
2007,"Actual","Revenue","Operating Revenue",NA,NA,"Assets Taxes","Tax",2582,0.009
2008,"Actual","Revenue","Operating Revenue",NA,NA,"Assets Taxes","Tax",2904,0.011
2009,"Actual","Revenue","Operating Revenue",NA,NA,"Assets Taxes","Tax",1987,0.007
2010,"Actual","Revenue","Operating Revenue",NA,NA,"Assets Taxes","Tax",2803,0.008
2011,"Actual","Revenue","Operating Revenue",NA,NA,"Assets Taxes","Tax",3902,0.011
2012,"Actual","Revenue","Operating Revenue",NA,NA,"Assets Taxes","Tax",3768,0.01
2013,"Actual","Revenue","Operating Revenue",NA,NA,"Assets Taxes","Tax",4182,0.011
2014,"Actual","Revenue","Operating Revenue",NA,NA,"Assets Taxes","Tax",4341,0.011
2015,"Actual","Revenue","Operating Revenue",NA,NA,"Assets Taxes","Tax",4455,0.01
2016,"Actual","Revenue","Operating Revenue",NA,NA,"Assets Taxes","Tax",4360,0.01
2017,"Actual","Revenue","Operating Revenue",NA,NA,"Assets Taxes","Tax",4440,0.009
2018,"Actual","Revenue","Operating Revenue",NA,NA,"Assets Taxes","Tax",4649,0.009
2019,"Actual","Revenue","Operating Revenue",NA,NA,"Assets Taxes","Tax",4762,0.009
2020,"Actual","Revenue","Operating Revenue",NA,NA,"Assets Taxes","Tax",3128,0.007
2021,"Revised","Revenue","Operating Revenue",NA,NA,"Assets Taxes","Tax",4601,0.009
2022,"Estimated","Revenue","Operating Revenue",NA,NA,"Assets Taxes","Tax",4613,0.008
1997,"Actual","Revenue","Operating Revenue",NA,NA,"Customs, Excise and Carbon Taxes","Tax",1633,0.011
1998,"Actual","Revenue","Operating Revenue",NA,NA,"Customs, Excise and Carbon Taxes","Tax",1566,0.011
1999,"Actual","Revenue","Operating Revenue",NA,NA,"Customs, Excise and Carbon Taxes","Tax",1574,0.01
2000,"Actual","Revenue","Operating Revenue",NA,NA,"Customs, Excise and Carbon Taxes","Tax",1847,0.011
2001,"Actual","Revenue","Operating Revenue",NA,NA,"Customs, Excise and Carbon Taxes","Tax",1803,0.011
2002,"Actual","Revenue","Operating Revenue",NA,NA,"Customs, Excise and Carbon Taxes","Tax",1730,0.01
2003,"Actual","Revenue","Operating Revenue",NA,NA,"Customs, Excise and Carbon Taxes","Tax",1901,0.011
2004,"Actual","Revenue","Operating Revenue",NA,NA,"Customs, Excise and Carbon Taxes","Tax",1924,0.01
2005,"Actual","Revenue","Operating Revenue",NA,NA,"Customs, Excise and Carbon Taxes","Tax",1973,0.009
2006,"Actual","Revenue","Operating Revenue",NA,NA,"Customs, Excise and Carbon Taxes","Tax",1887,0.008
2007,"Actual","Revenue","Operating Revenue",NA,NA,"Customs, Excise and Carbon Taxes","Tax",1985,0.007
2008,"Actual","Revenue","Operating Revenue",NA,NA,"Customs, Excise and Carbon Taxes","Tax",2065,0.008
2009,"Actual","Revenue","Operating Revenue",NA,NA,"Customs, Excise and Carbon Taxes","Tax",2125,0.007
2010,"Actual","Revenue","Operating Revenue",NA,NA,"Customs, Excise and Carbon Taxes","Tax",2048,0.006
2011,"Actual","Revenue","Operating Revenue",NA,NA,"Customs, Excise and Carbon Taxes","Tax",2133,0.006
2012,"Actual","Revenue","Operating Revenue",NA,NA,"Customs, Excise and Carbon Taxes","Tax",2142,0.006
2013,"Actual","Revenue","Operating Revenue",NA,NA,"Customs, Excise and Carbon Taxes","Tax",2189,0.006
2014,"Actual","Revenue","Operating Revenue",NA,NA,"Customs, Excise and Carbon Taxes","Tax",2540,0.006
2015,"Actual","Revenue","Operating Revenue",NA,NA,"Customs, Excise and Carbon Taxes","Tax",2833,0.007
2016,"Actual","Revenue","Operating Revenue",NA,NA,"Customs, Excise and Carbon Taxes","Tax",2730,0.006
2017,"Actual","Revenue","Operating Revenue",NA,NA,"Customs, Excise and Carbon Taxes","Tax",3133,0.007
2018,"Actual","Revenue","Operating Revenue",NA,NA,"Customs, Excise and Carbon Taxes","Tax",3075,0.006
2019,"Actual","Revenue","Operating Revenue",NA,NA,"Customs, Excise and Carbon Taxes","Tax",3264,0.006
2020,"Actual","Revenue","Operating Revenue",NA,NA,"Customs, Excise and Carbon Taxes","Tax",3582,0.007
2021,"Revised","Revenue","Operating Revenue",NA,NA,"Customs, Excise and Carbon Taxes","Tax",3634,0.007
2022,"Estimated","Revenue","Operating Revenue",NA,NA,"Customs, Excise and Carbon Taxes","Tax",3706,0.006
1997,"Actual","Revenue","Operating Revenue",NA,NA,"Goods and Services Tax","Tax",1927,0.013
1998,"Actual","Revenue","Operating Revenue",NA,NA,"Goods and Services Tax","Tax",1657,0.012
1999,"Actual","Revenue","Operating Revenue",NA,NA,"Goods and Services Tax","Tax",1995,0.013
2000,"Actual","Revenue","Operating Revenue",NA,NA,"Goods and Services Tax","Tax",2121,0.013
2001,"Actual","Revenue","Operating Revenue",NA,NA,"Goods and Services Tax","Tax",2134,0.013
2002,"Actual","Revenue","Operating Revenue",NA,NA,"Goods and Services Tax","Tax",2165,0.013
2003,"Actual","Revenue","Operating Revenue",NA,NA,"Goods and Services Tax","Tax",2957,0.017
2004,"Actual","Revenue","Operating Revenue",NA,NA,"Goods and Services Tax","Tax",3470,0.017
2005,"Actual","Revenue","Operating Revenue",NA,NA,"Goods and Services Tax","Tax",3815,0.017
2006,"Actual","Revenue","Operating Revenue",NA,NA,"Goods and Services Tax","Tax",3978,0.016
2007,"Actual","Revenue","Operating Revenue",NA,NA,"Goods and Services Tax","Tax",6165,0.022
2008,"Actual","Revenue","Operating Revenue",NA,NA,"Goods and Services Tax","Tax",6487,0.024
2009,"Actual","Revenue","Operating Revenue",NA,NA,"Goods and Services Tax","Tax",6914,0.023
2010,"Actual","Revenue","Operating Revenue",NA,NA,"Goods and Services Tax","Tax",8198,0.024
2011,"Actual","Revenue","Operating Revenue",NA,NA,"Goods and Services Tax","Tax",8687,0.024
2012,"Actual","Revenue","Operating Revenue",NA,NA,"Goods and Services Tax","Tax",9038,0.024
2013,"Actual","Revenue","Operating Revenue",NA,NA,"Goods and Services Tax","Tax",9513,0.025
2014,"Actual","Revenue","Operating Revenue",NA,NA,"Goods and Services Tax","Tax",10215,0.025
2015,"Actual","Revenue","Operating Revenue",NA,NA,"Goods and Services Tax","Tax",10345,0.024
2016,"Actual","Revenue","Operating Revenue",NA,NA,"Goods and Services Tax","Tax",11078,0.025
2017,"Actual","Revenue","Operating Revenue",NA,NA,"Goods and Services Tax","Tax",10960,0.023
2018,"Actual","Revenue","Operating Revenue",NA,NA,"Goods and Services Tax","Tax",11137,0.022
2019,"Actual","Revenue","Operating Revenue",NA,NA,"Goods and Services Tax","Tax",11164,0.022
2020,"Actual","Revenue","Operating Revenue",NA,NA,"Goods and Services Tax","Tax",10346,0.022
2021,"Revised","Revenue","Operating Revenue",NA,NA,"Goods and Services Tax","Tax",12010,0.022
2022,"Estimated","Revenue","Operating Revenue",NA,NA,"Goods and Services Tax","Tax",12797,0.022
1997,"Actual","Revenue","Operating Revenue",NA,NA,"Motor Vehicle Taxes","Tax",1743,0.012
1998,"Actual","Revenue","Operating Revenue",NA,NA,"Motor Vehicle Taxes","Tax",1205,0.009
1999,"Actual","Revenue","Operating Revenue",NA,NA,"Motor Vehicle Taxes","Tax",1719,0.011
2000,"Actual","Revenue","Operating Revenue",NA,NA,"Motor Vehicle Taxes","Tax",2506,0.015
2001,"Actual","Revenue","Operating Revenue",NA,NA,"Motor Vehicle Taxes","Tax",1972,0.012
2002,"Actual","Revenue","Operating Revenue",NA,NA,"Motor Vehicle Taxes","Tax",1446,0.009
2003,"Actual","Revenue","Operating Revenue",NA,NA,"Motor Vehicle Taxes","Tax",1486,0.009
2004,"Actual","Revenue","Operating Revenue",NA,NA,"Motor Vehicle Taxes","Tax",1392,0.007
2005,"Actual","Revenue","Operating Revenue",NA,NA,"Motor Vehicle Taxes","Tax",1432,0.007
2006,"Actual","Revenue","Operating Revenue",NA,NA,"Motor Vehicle Taxes","Tax",1745,0.007
2007,"Actual","Revenue","Operating Revenue",NA,NA,"Motor Vehicle Taxes","Tax",2189,0.008
2008,"Actual","Revenue","Operating Revenue",NA,NA,"Motor Vehicle Taxes","Tax",1835,0.007
2009,"Actual","Revenue","Operating Revenue",NA,NA,"Motor Vehicle Taxes","Tax",1856,0.006
2010,"Actual","Revenue","Operating Revenue",NA,NA,"Motor Vehicle Taxes","Tax",1851,0.006
2011,"Actual","Revenue","Operating Revenue",NA,NA,"Motor Vehicle Taxes","Tax",1920,0.005
2012,"Actual","Revenue","Operating Revenue",NA,NA,"Motor Vehicle Taxes","Tax",1803,0.005
2013,"Actual","Revenue","Operating Revenue",NA,NA,"Motor Vehicle Taxes","Tax",1655,0.004
2014,"Actual","Revenue","Operating Revenue",NA,NA,"Motor Vehicle Taxes","Tax",1603,0.004
2015,"Actual","Revenue","Operating Revenue",NA,NA,"Motor Vehicle Taxes","Tax",1760,0.004
2016,"Actual","Revenue","Operating Revenue",NA,NA,"Motor Vehicle Taxes","Tax",2148,0.005
2017,"Actual","Revenue","Operating Revenue",NA,NA,"Motor Vehicle Taxes","Tax",2153,0.004
2018,"Actual","Revenue","Operating Revenue",NA,NA,"Motor Vehicle Taxes","Tax",2623,0.005
2019,"Actual","Revenue","Operating Revenue",NA,NA,"Motor Vehicle Taxes","Tax",2419,0.005
2020,"Actual","Revenue","Operating Revenue",NA,NA,"Motor Vehicle Taxes","Tax",2133,0.004
2021,"Revised","Revenue","Operating Revenue",NA,NA,"Motor Vehicle Taxes","Tax",2394,0.004
2022,"Estimated","Revenue","Operating Revenue",NA,NA,"Motor Vehicle Taxes","Tax",2527,0.004
1997,"Actual","Revenue","Operating Revenue",NA,NA,"Betting Taxes","Tax",1296,0.009
1998,"Actual","Revenue","Operating Revenue",NA,NA,"Betting Taxes","Tax",1272,0.009
1999,"Actual","Revenue","Operating Revenue",NA,NA,"Betting Taxes","Tax",1373,0.009
2000,"Actual","Revenue","Operating Revenue",NA,NA,"Betting Taxes","Tax",1494,0.009
2001,"Actual","Revenue","Operating Revenue",NA,NA,"Betting Taxes","Tax",1575,0.01
2002,"Actual","Revenue","Operating Revenue",NA,NA,"Betting Taxes","Tax",1550,0.009
2003,"Actual","Revenue","Operating Revenue",NA,NA,"Betting Taxes","Tax",1524,0.009
2004,"Actual","Revenue","Operating Revenue",NA,NA,"Betting Taxes","Tax",1534,0.008
2005,"Actual","Revenue","Operating Revenue",NA,NA,"Betting Taxes","Tax",1501,0.007
2006,"Actual","Revenue","Operating Revenue",NA,NA,"Betting Taxes","Tax",1571,0.006
2007,"Actual","Revenue","Operating Revenue",NA,NA,"Betting Taxes","Tax",1713,0.006
2008,"Actual","Revenue","Operating Revenue",NA,NA,"Betting Taxes","Tax",1771,0.007
2009,"Actual","Revenue","Operating Revenue",NA,NA,"Betting Taxes","Tax",1727,0.006
2010,"Actual","Revenue","Operating Revenue",NA,NA,"Betting Taxes","Tax",2279,0.007
2011,"Actual","Revenue","Operating Revenue",NA,NA,"Betting Taxes","Tax",2373,0.007
2012,"Actual","Revenue","Operating Revenue",NA,NA,"Betting Taxes","Tax",2305,0.006
2013,"Actual","Revenue","Operating Revenue",NA,NA,"Betting Taxes","Tax",2379,0.006
2014,"Actual","Revenue","Operating Revenue",NA,NA,"Betting Taxes","Tax",2591,0.006
2015,"Actual","Revenue","Operating Revenue",NA,NA,"Betting Taxes","Tax",2719,0.006
2016,"Actual","Revenue","Operating Revenue",NA,NA,"Betting Taxes","Tax",2682,0.006
2017,"Actual","Revenue","Operating Revenue",NA,NA,"Betting Taxes","Tax",2688,0.006
2018,"Actual","Revenue","Operating Revenue",NA,NA,"Betting Taxes","Tax",2664,0.005
2019,"Actual","Revenue","Operating Revenue",NA,NA,"Betting Taxes","Tax",2620,0.005
2020,"Actual","Revenue","Operating Revenue",NA,NA,"Betting Taxes","Tax",1722,0.004
2021,"Revised","Revenue","Operating Revenue",NA,NA,"Betting Taxes","Tax",2320,0.004
2022,"Estimated","Revenue","Operating Revenue",NA,NA,"Betting Taxes","Tax",2737,0.005
1997,"Actual","Revenue","Operating Revenue",NA,NA,"Stamp Duty","Tax",1688,0.011
1998,"Actual","Revenue","Operating Revenue",NA,NA,"Stamp Duty","Tax",953,0.007
1999,"Actual","Revenue","Operating Revenue",NA,NA,"Stamp Duty","Tax",1413,0.009
2000,"Actual","Revenue","Operating Revenue",NA,NA,"Stamp Duty","Tax",1257,0.007
2001,"Actual","Revenue","Operating Revenue",NA,NA,"Stamp Duty","Tax",758,0.005
2002,"Actual","Revenue","Operating Revenue",NA,NA,"Stamp Duty","Tax",695,0.004
2003,"Actual","Revenue","Operating Revenue",NA,NA,"Stamp Duty","Tax",743,0.004
2004,"Actual","Revenue","Operating Revenue",NA,NA,"Stamp Duty","Tax",815,0.004
2005,"Actual","Revenue","Operating Revenue",NA,NA,"Stamp Duty","Tax",967,0.004
2006,"Actual","Revenue","Operating Revenue",NA,NA,"Stamp Duty","Tax",2015,0.008
2007,"Actual","Revenue","Operating Revenue",NA,NA,"Stamp Duty","Tax",3677,0.013
2008,"Actual","Revenue","Operating Revenue",NA,NA,"Stamp Duty","Tax",1432,0.005
2009,"Actual","Revenue","Operating Revenue",NA,NA,"Stamp Duty","Tax",2386,0.008
2010,"Actual","Revenue","Operating Revenue",NA,NA,"Stamp Duty","Tax",3277,0.01
2011,"Actual","Revenue","Operating Revenue",NA,NA,"Stamp Duty","Tax",3175,0.009
2012,"Actual","Revenue","Operating Revenue",NA,NA,"Stamp Duty","Tax",4309,0.012
2013,"Actual","Revenue","Operating Revenue",NA,NA,"Stamp Duty","Tax",3930,0.01
2014,"Actual","Revenue","Operating Revenue",NA,NA,"Stamp Duty","Tax",2784,0.007
2015,"Actual","Revenue","Operating Revenue",NA,NA,"Stamp Duty","Tax",2769,0.006
2016,"Actual","Revenue","Operating Revenue",NA,NA,"Stamp Duty","Tax",3278,0.007
2017,"Actual","Revenue","Operating Revenue",NA,NA,"Stamp Duty","Tax",4905,0.01
2018,"Actual","Revenue","Operating Revenue",NA,NA,"Stamp Duty","Tax",4607,0.009
2019,"Actual","Revenue","Operating Revenue",NA,NA,"Stamp Duty","Tax",4199,0.008
2020,"Actual","Revenue","Operating Revenue",NA,NA,"Stamp Duty","Tax",3896,0.008
2021,"Revised","Revenue","Operating Revenue",NA,NA,"Stamp Duty","Tax",6454,0.012
2022,"Estimated","Revenue","Operating Revenue",NA,NA,"Stamp Duty","Tax",5241,0.009
1997,"Actual","Revenue","Operating Revenue",NA,NA,"Other Taxes","Tax",2194,0.015
1998,"Actual","Revenue","Operating Revenue",NA,NA,"Other Taxes","Tax",2037,0.014
1999,"Actual","Revenue","Operating Revenue",NA,NA,"Other Taxes","Tax",1489,0.01
2000,"Actual","Revenue","Operating Revenue",NA,NA,"Other Taxes","Tax",1259,0.007
2001,"Actual","Revenue","Operating Revenue",NA,NA,"Other Taxes","Tax",1181,0.007
2002,"Actual","Revenue","Operating Revenue",NA,NA,"Other Taxes","Tax",1114,0.007
2003,"Actual","Revenue","Operating Revenue",NA,NA,"Other Taxes","Tax",1108,0.006
2004,"Actual","Revenue","Operating Revenue",NA,NA,"Other Taxes","Tax",1137,0.006
2005,"Actual","Revenue","Operating Revenue",NA,NA,"Other Taxes","Tax",1177,0.005
2006,"Actual","Revenue","Operating Revenue",NA,NA,"Other Taxes","Tax",1384,0.006
2007,"Actual","Revenue","Operating Revenue",NA,NA,"Other Taxes","Tax",1698,0.006
2008,"Actual","Revenue","Operating Revenue",NA,NA,"Other Taxes","Tax",1929,0.007
2009,"Actual","Revenue","Operating Revenue",NA,NA,"Other Taxes","Tax",2410,0.008
2010,"Actual","Revenue","Operating Revenue",NA,NA,"Other Taxes","Tax",2706,0.008
2011,"Actual","Revenue","Operating Revenue",NA,NA,"Other Taxes","Tax",3307,0.009
2012,"Actual","Revenue","Operating Revenue",NA,NA,"Other Taxes","Tax",4342,0.012
2013,"Actual","Revenue","Operating Revenue",NA,NA,"Other Taxes","Tax",5248,0.014
2014,"Actual","Revenue","Operating Revenue",NA,NA,"Other Taxes","Tax",6097,0.015
2015,"Actual","Revenue","Operating Revenue",NA,NA,"Other Taxes","Tax",5876,0.014
2016,"Actual","Revenue","Operating Revenue",NA,NA,"Other Taxes","Tax",6045,0.013
2017,"Actual","Revenue","Operating Revenue",NA,NA,"Other Taxes","Tax",6019,0.013
2018,"Actual","Revenue","Operating Revenue",NA,NA,"Other Taxes","Tax",6629,0.013
2019,"Actual","Revenue","Operating Revenue",NA,NA,"Other Taxes","Tax",6683,0.013
2020,"Actual","Revenue","Operating Revenue",NA,NA,"Other Taxes","Tax",3606,0.008
2021,"Revised","Revenue","Operating Revenue",NA,NA,"Other Taxes","Tax",5464,0.01
2022,"Estimated","Revenue","Operating Revenue",NA,NA,"Other Taxes","Tax",6049,0.011
1997,"Actual","Revenue","Operating Revenue",NA,NA,"Vehicle Quota Premiums","Fees and Charges",1799,0.012
1998,"Actual","Revenue","Operating Revenue",NA,NA,"Vehicle Quota Premiums","Fees and Charges",1271,0.009
1999,"Actual","Revenue","Operating Revenue",NA,NA,"Vehicle Quota Premiums","Fees and Charges",2513,0.017
2000,"Actual","Revenue","Operating Revenue",NA,NA,"Vehicle Quota Premiums","Fees and Charges",3105,0.018
2001,"Actual","Revenue","Operating Revenue",NA,NA,"Vehicle Quota Premiums","Fees and Charges",2089,0.013
2002,"Actual","Revenue","Operating Revenue",NA,NA,"Vehicle Quota Premiums","Fees and Charges",1778,0.011
2003,"Actual","Revenue","Operating Revenue",NA,NA,"Vehicle Quota Premiums","Fees and Charges",1543,0.009
2004,"Actual","Revenue","Operating Revenue",NA,NA,"Vehicle Quota Premiums","Fees and Charges",1257,0.006
2005,"Actual","Revenue","Operating Revenue",NA,NA,"Vehicle Quota Premiums","Fees and Charges",321,0.001
2006,"Actual","Revenue","Operating Revenue",NA,NA,"Vehicle Quota Premiums","Fees and Charges",93,0
2007,"Actual","Revenue","Operating Revenue",NA,NA,"Vehicle Quota Premiums","Fees and Charges",673,0.002
2008,"Actual","Revenue","Operating Revenue",NA,NA,"Vehicle Quota Premiums","Fees and Charges",367,0.001
2009,"Actual","Revenue","Operating Revenue",NA,NA,"Vehicle Quota Premiums","Fees and Charges",623,0.002
2010,"Actual","Revenue","Operating Revenue",NA,NA,"Vehicle Quota Premiums","Fees and Charges",1602,0.005
2011,"Actual","Revenue","Operating Revenue",NA,NA,"Vehicle Quota Premiums","Fees and Charges",2112,0.006
2012,"Actual","Revenue","Operating Revenue",NA,NA,"Vehicle Quota Premiums","Fees and Charges",2572,0.007
2013,"Actual","Revenue","Operating Revenue",NA,NA,"Vehicle Quota Premiums","Fees and Charges",2722,0.007
2014,"Actual","Revenue","Operating Revenue",NA,NA,"Vehicle Quota Premiums","Fees and Charges",3394,0.008
2015,"Actual","Revenue","Operating Revenue",NA,NA,"Vehicle Quota Premiums","Fees and Charges",5425,0.013
2016,"Actual","Revenue","Operating Revenue",NA,NA,"Vehicle Quota Premiums","Fees and Charges",6551,0.015
2017,"Actual","Revenue","Operating Revenue",NA,NA,"Vehicle Quota Premiums","Fees and Charges",5796,0.012
2018,"Actual","Revenue","Operating Revenue",NA,NA,"Vehicle Quota Premiums","Fees and Charges",3616,0.007
2019,"Actual","Revenue","Operating Revenue",NA,NA,"Vehicle Quota Premiums","Fees and Charges",2865,0.006
2020,"Actual","Revenue","Operating Revenue",NA,NA,"Vehicle Quota Premiums","Fees and Charges",2297,0.005
2021,"Revised","Revenue","Operating Revenue",NA,NA,"Vehicle Quota Premiums","Fees and Charges",3219,0.006
2022,"Estimated","Revenue","Operating Revenue",NA,NA,"Vehicle Quota Premiums","Fees and Charges",3930,0.007
1997,"Actual","Revenue","Operating Revenue",NA,NA,"Fees and Charges (Excluding Vehicle Quota Premiums)","Fees and Charges",2201,0.015
1998,"Actual","Revenue","Operating Revenue",NA,NA,"Fees and Charges (Excluding Vehicle Quota Premiums)","Fees and Charges",1881,0.013
1999,"Actual","Revenue","Operating Revenue",NA,NA,"Fees and Charges (Excluding Vehicle Quota Premiums)","Fees and Charges",2051,0.014
2000,"Actual","Revenue","Operating Revenue",NA,NA,"Fees and Charges (Excluding Vehicle Quota Premiums)","Fees and Charges",2545,0.015
2001,"Actual","Revenue","Operating Revenue",NA,NA,"Fees and Charges (Excluding Vehicle Quota Premiums)","Fees and Charges",2045,0.013
2002,"Actual","Revenue","Operating Revenue",NA,NA,"Fees and Charges (Excluding Vehicle Quota Premiums)","Fees and Charges",2027,0.012
2003,"Actual","Revenue","Operating Revenue",NA,NA,"Fees and Charges (Excluding Vehicle Quota Premiums)","Fees and Charges",1949,0.011
2004,"Actual","Revenue","Operating Revenue",NA,NA,"Fees and Charges (Excluding Vehicle Quota Premiums)","Fees and Charges",2109,0.011
2005,"Actual","Revenue","Operating Revenue",NA,NA,"Fees and Charges (Excluding Vehicle Quota Premiums)","Fees and Charges",1925,0.009
2006,"Actual","Revenue","Operating Revenue",NA,NA,"Fees and Charges (Excluding Vehicle Quota Premiums)","Fees and Charges",2109,0.009
2007,"Actual","Revenue","Operating Revenue",NA,NA,"Fees and Charges (Excluding Vehicle Quota Premiums)","Fees and Charges",2956,0.011
2008,"Actual","Revenue","Operating Revenue",NA,NA,"Fees and Charges (Excluding Vehicle Quota Premiums)","Fees and Charges",2845,0.011
2009,"Actual","Revenue","Operating Revenue",NA,NA,"Fees and Charges (Excluding Vehicle Quota Premiums)","Fees and Charges",2142,0.007
2010,"Actual","Revenue","Operating Revenue",NA,NA,"Fees and Charges (Excluding Vehicle Quota Premiums)","Fees and Charges",2384,0.007
2011,"Actual","Revenue","Operating Revenue",NA,NA,"Fees and Charges (Excluding Vehicle Quota Premiums)","Fees and Charges",2587,0.007
2012,"Actual","Revenue","Operating Revenue",NA,NA,"Fees and Charges (Excluding Vehicle Quota Premiums)","Fees and Charges",2708,0.007
2013,"Actual","Revenue","Operating Revenue",NA,NA,"Fees and Charges (Excluding Vehicle Quota Premiums)","Fees and Charges",2903,0.007
2014,"Actual","Revenue","Operating Revenue",NA,NA,"Fees and Charges (Excluding Vehicle Quota Premiums)","Fees and Charges",3010,0.007
2015,"Actual","Revenue","Operating Revenue",NA,NA,"Fees and Charges (Excluding Vehicle Quota Premiums)","Fees and Charges",3249,0.008
